(havtob) a2019403475@nasp-cpu-02:~$ cat VGG19_PS_output_256bsz_3.txt 
Rank: 3, epoch: 0, batch_idx: 42, train-time: 6.631680965423584, com-time: 9.224849939346313, loss 2.365145206451416, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 43, train-time: 6.6281914710998535, com-time: 9.225369215011597, loss 2.3110971450805664, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 44, train-time: 6.632195949554443, com-time: 9.284162998199463, loss 2.3296422958374023, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 45, train-time: 6.627575397491455, com-time: 9.311910390853882, loss 2.3034160137176514, prec: 15.686274528503418, 
Rank: 3, epoch: 0, batch_idx: 46, train-time: 6.6258862018585205, com-time: 9.237299919128418, loss 2.3312580585479736, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 47, train-time: 6.63362979888916, com-time: 9.229941368103027, loss 2.2863194942474365, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 48, train-time: 6.632272720336914, com-time: 9.233519077301025, loss 2.3634517192840576, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 49, train-time: 6.635202169418335, com-time: 9.21298360824585, loss 2.3297464847564697, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 50, train-time: 6.632230043411255, com-time: 9.196399450302124, loss 2.3332505226135254, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 51, train-time: 6.632851839065552, com-time: 9.308460712432861, loss 2.2859270572662354, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 52, train-time: 6.63078761100769, com-time: 9.243648052215576, loss 2.280200481414795, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 53, train-time: 6.635475158691406, com-time: 9.208080768585205, loss 2.3126983642578125, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 54, train-time: 6.6351447105407715, com-time: 9.217929124832153, loss 2.34262752532959, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 55, train-time: 6.629914999008179, com-time: 9.238923788070679, loss 2.287839651107788, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 56, train-time: 6.638693571090698, com-time: 9.237446308135986, loss 2.300673246383667, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 57, train-time: 6.63644003868103, com-time: 9.227082014083862, loss 2.3322997093200684, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 58, train-time: 6.620631694793701, com-time: 9.264237403869629, loss 2.322516918182373, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 59, train-time: 6.633584499359131, com-time: 9.258305072784424, loss 2.2718186378479004, prec: 19.60784339904785, 
Rank: 3, epoch: 0, batch_idx: 60, train-time: 6.626659870147705, com-time: 9.223496437072754, loss 2.322049617767334, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 61, train-time: 6.637817859649658, com-time: 9.231440305709839, loss 2.3049230575561523, prec: 15.686274528503418, 
Rank: 3, epoch: 0, batch_idx: 62, train-time: 6.626112699508667, com-time: 9.25704312324524, loss 2.3473174571990967, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 63, train-time: 6.630593538284302, com-time: 9.198751449584961, loss 2.3458187580108643, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 64, train-time: 6.626272678375244, com-time: 9.208815813064575, loss 2.3335492610931396, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 65, train-time: 6.629755973815918, com-time: 9.22155475616455, loss 2.3420610427856445, prec: 3.9215686321258545, 
Rank: 3, epoch: 0, batch_idx: 66, train-time: 6.617778301239014, com-time: 9.245630979537964, loss 2.2835237979888916, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 67, train-time: 6.637913465499878, com-time: 9.309523105621338, loss 2.3899409770965576, prec: 9.803921699523926, 
